"","STATE","GISJOIN","STATEICP","STATEFIPS","COUNTYFIPS","ALLCOUNTIES","VARIABLE NAME","MM.LRA1"
"98","Alaska","G0100850","81","2","195","Petersburg Borough",NA,"1"
"99","Alaska","G0100870","81","2","200","Prince Of Wales",NA,"1"
"100","Alaska","G0100890","81","2","198","Prince of Wales-Hyder Census Area",NA,"1"
"101","Alaska","G0100910","81","2","201","Prince Of Wales-Outer Ketchikan",NA,"1"
"102","Alaska","G0100930","81","2","210","Seward",NA,"1"
"103","Alaska","G0100950","81","2","220","Sitka",NA,"1"
"104","Alaska","G0100970","81","2","230","Skagway Municipality",NA,"1"
"105","Alaska","G0100990","81","2","232","Skagway-Hoonah-Angoon",NA,"1"
"106","Alaska","G0101010","81","2","231","Skagway-Yakutat-Angoon",NA,"1"
"107","Alaska","G0101030","81","2","240","Southeast Fairbanks",NA,"1"
"108","Alaska","G0101050","81","2","250","Upper Yukon",NA,"1"
"109","Alaska","G0101070","81","2","260","Valdez-Chitina-Whittier",NA,"1"
"110","Alaska","G0101090","81","2","261","Valdez-Cordova",NA,"1"
"111","Alaska","G0101110","81","2","270","Wade Hampton",NA,"1"
"112","Alaska","G0101130","81","2","280","Wrangell City and Borough",NA,"1"
"113","Alaska","G0101150","81","2","280","Wrangell-Petersburg",NA,"1"
"114","Alaska","G0101170","81","2","282","Yakutat",NA,"1"
"115","Alaska","G0101190","81","2","290","Yukon-Koyukuk",NA,"1"
"116","Alaska Territory","G0100170","81","2","15","First Judicial Dist",NA,"1"
"117","Alaska Territory","G0100190","81","2","35","Fourth Judicial Dist",NA,"1"
"118","Alaska Territory","G0100210","81","2","75","Second Judicial Dist",NA,"1"
"119","Alaska Territory","G0100230","81","2","115","Third Judicial Dist",NA,"1"
"120","Arizona","G0101210","61","4","10","Apache",NA,"1"
"121","Arizona","G0101230","61","4","30","Cochise",NA,"1"
"122","Arizona","G0101250","61","4","50","Coconino",NA,"1"
"123","Arizona","G0101270","61","4","70","Gila",NA,"1"
"124","Arizona","G0101290","61","4","90","Graham",NA,"1"
"125","Arizona","G0101310","61","4","110","Greenlee",NA,"1"
"126","Arizona","G0101330",NA,"4","120","La Paz",NA,"1"
"127","Arizona","G0250015","61","4","130","Maricopa",NA,"0"
"128","Arizona","G0250035","61","4","150","Mohave",NA,"1"
"129","Arizona","G0250075","61","4","170","Navajo",NA,"1"
"130","Arizona","G0250115","61","4","190","Pima",NA,"1"
"131","Arizona","G0200100","61","4","210","Pinal",NA,"1"
"132","Arizona","G0200130","61","4","230","Santa Cruz",NA,"1"
"133","Arizona","G0200160","61","4","250","Yavapai",NA,"1"
"134","Arizona","G0200200","61","4","270","Yuma",NA,"1"
"135","Arkansas","G0200400","42","5","10","Arkansas",NA,"1"
"136","Arkansas","G0200500","42","5","30","Ashley",NA,"1"
"137","Arkansas","G0200600","42","5","50","Baxter",NA,"1"
"138","Arkansas","G0200620","42","5","70","Benton",NA,"1"
"139","Arkansas","G0200630","42","5","90","Boone",NA,"1"
"140","Arkansas","G0200660","42","5","110","Bradley",NA,"1"
"141","Arkansas","G0200800","42","5","130","Calhoun",NA,"1"
"142","Arkansas","G0200680","42","5","150","Carroll",NA,"1"
"143","Arkansas","G0200700","42","5","170","Chicot",NA,"1"
"144","Arkansas","G0200900","42","5","190","Clark",NA,"1"
"145","Arkansas","G0201000","42","5","210","Clay",NA,"1"
"146","Arkansas","G0201050","42","5","230","Cleburne",NA,"1"
"147","Arkansas","G0201100","42","5","250","Cleveland",NA,"1"
"148","Arkansas","G0201220","42","5","270","Columbia",NA,"1"
"149","Arkansas","G0201200","42","5","290","Conway",NA,"1"
"150","Arkansas","G0201300","42","5","310","Craighead",NA,"1"
"151","Arkansas","G0201400","42","5","330","Crawford",NA,"1"
"152","Arkansas","G0201500","42","5","350","Crittenden",NA,"1"
"153","Arkansas","G0201580","42","5","370","Cross",NA,"1"
"154","Arkansas","G0201600","42","5","390","Dallas",NA,"1"
"155","Arkansas","G0201640","42","5","410","Desha",NA,"1"
"156","Arkansas","G0201700","42","5","430","Drew",NA,"1"
"157","Arkansas","G0201800","42","5","450","Faulkner",NA,"1"
"158","Arkansas","G0201850","42","5","470","Franklin",NA,"1"
"159","Arkansas","G0201880","42","5","490","Fulton",NA,"1"
"160","Arkansas","G0201900","42","5","510","Garland",NA,"1"
"161","Arkansas","G0201950","42","5","530","Grant",NA,"1"
"162","Arkansas","G0202000","42","5","550","Greene",NA,"1"
"163","Arkansas","G0201980","42","5","570","Hempstead",NA,"1"
"164","Arkansas","G0202010","42","5","590","Hot Spring",NA,"1"
"165","Arkansas","G0202100","42","5","610","Howard",NA,"1"
"166","Arkansas","G0202200","42","5","630","Independence",NA,"1"
"167","Arkansas","G0202300","42","5","650","Izard",NA,"1"
"168","Arkansas","G0202320","42","5","670","Jackson",NA,"1"
"169","Arkansas","G0202310","42","5","690","Jefferson",NA,"0"
"170","Arkansas","G0202400","42","5","710","Johnson",NA,"1"
"171","Arkansas","G0202500","42","5","730","Lafayette",NA,"1"
"172","Arkansas","G0202600","42","5","750","Lawrence",NA,"1"
"173","Arkansas","G0202610","42","5","770","Lee",NA,"1"
"174","Arkansas","G0202700","42","5","790","Lincoln",NA,"1"
"175","Arkansas","G0202800","42","5","810","Little River",NA,"1"
"176","Arkansas","G0202800","42","5","830","Logan",NA,"1"
"177","Arkansas","G0202820","42","5","850","Lonoke",NA,"1"
"178","Arkansas","G0202900","42","5","870","Madison",NA,"1"
"179","Arkansas","G0400010","42","5","890","Marion",NA,"1"
"180","Arkansas","G0400030","42","5","910","Miller",NA,"1"
"181","Arkansas","G0400050","42","5","930","Mississippi",NA,"1"
"182","Arkansas","G0400070","42","5","950","Monroe",NA,"1"
"183","Arkansas","G0400090","42","5","970","Montgomery",NA,"1"
"184","Arkansas","G0400110","42","5","990","Nevada",NA,"1"
"185","Arkansas","G0400120","42","5","1010","Newton",NA,"1"
"186","Arkansas","G0400130","42","5","1030","Ouachita",NA,"1"
"187","Arkansas","G0400150","42","5","1050","Perry",NA,"1"
"188","Arkansas","G0400170","42","5","1070","Phillips",NA,"1"
"189","Arkansas","G0400190","42","5","1090","Pike",NA,"1"
"190","Arkansas","G0400210","42","5","1110","Poinsett",NA,"1"
"191","Arkansas","G0400230","42","5","1130","Polk",NA,"1"
"192","Arkansas","G0400250","42","5","1150","Pope",NA,"1"
"193","Arkansas","G0400270","42","5","1170","Prairie",NA,"1"
"194","Arkansas","G0500010","42","5","1190","Pulaski",NA,"0"
"195","Arkansas","G0500030","42","5","1210","Randolph",NA,"1"
"196","Arkansas","G0500070","42","5","1250","Saline",NA,"1"
"197","Arkansas","G0500090","42","5","1270","Scott",NA,"1"
"198","Arkansas","G0500110","42","5","1290","Searcy",NA,"1"
"199","Arkansas","G0500130","42","5","1310","Sebastian",NA,"1"
"200","Arkansas","G0500150","42","5","1330","Sevier",NA,"1"
"201","Arkansas","G0500170","42","5","1350","Sharp",NA,"1"
"202","Arkansas","G0500050","42","5","1230","St Francis",NA,"1"
"203","Arkansas","G0500190","42","5","1370","Stone",NA,"1"
"204","Arkansas","G0500210","42","5","1390","Union",NA,"1"
"205","Arkansas","G0500230","42","5","1410","Van Buren",NA,"1"
"206","Arkansas","G0500250","42","5","1430","Washington",NA,"1"
"207","Arkansas","G0500270","42","5","1450","White",NA,"1"
"208","Arkansas","G0500290","42","5","1470","Woodruff",NA,"1"
"209","Arkansas","G0500310","42","5","1490","Yell",NA,"1"
"210","California","G0500330","71","6","10","Alameda",NA,"1"
"211","California","G0500350","71","6","30","Alpine",NA,"1"
"212","California","G0500370","71","6","50","Amador",NA,"1"
"213","California","G0500390","71","6","70","Butte",NA,"1"
"214","California","G0500410","71","6","90","Calaveras",NA,"1"
"215","California","G0500430","71","6","110","Colusa",NA,"1"
"216","California","G0500450","71","6","130","Contra Costa",NA,"1"
"217","California","G0500470","71","6","150","Del Norte",NA,"1"
"218","California","G0500490","71","6","170","El Dorado",NA,"1"
"219","California","G0500510","71","6","190","Fresno",NA,"1"
"220","California","G0500530","71","6","210","Glenn",NA,"1"
"221","California","G0500550","71","6","230","Humboldt",NA,"1"
"222","California","G0500570","71","6","250","Imperial",NA,"1"
"223","California","G0500590","71","6","270","Inyo",NA,"1"
"224","California","G0500610","71","6","290","Kern",NA,"1"
"225","California","G0500630","71","6","310","Kings",NA,"1"
"226","California","G0500650","71","6","330","Lake",NA,"1"
"227","California","G0500670","71","6","350","Lassen",NA,"1"
"228","California","G0500690","71","6","370","Los Angeles",NA,"0"
"229","California","G0500710","71","6","390","Madera",NA,"1"
"230","California","G0500730","71","6","410","Marin",NA,"1"
"231","California","G0500750","71","6","430","Mariposa",NA,"1"
"232","California","G0500770","71","6","450","Mendocino",NA,"1"
"233","California","G0500790","71","6","470","Merced",NA,"1"
"234","California","G0500810","71","6","490","Modoc",NA,"1"
"235","California","G0500830","71","6","510","Mono",NA,"1"
"236","California","G0500850","71","6","530","Monterey",NA,"1"
"237","California","G0500870","71","6","550","Napa",NA,"1"
"238","California","G0500890","71","6","570","Nevada",NA,"1"
"239","California","G0500910","71","6","590","Orange",NA,"1"
"240","California","G0500930","71","6","610","Placer",NA,"1"
"241","California","G0500950","71","6","630","Plumas",NA,"1"
"242","California","G0500970","71","6","650","Riverside",NA,"1"
"243","California","G0500990","71","6","670","Sacramento",NA,"1"
"244","California","G0501010","71","6","690","San Benito",NA,"1"
"245","California","G0501030","71","6","710","San Bernardino",NA,"1"
"246","California","G0501050","71","6","730","San Diego",NA,"1"
"247","California","G0501070","71","6","750","San Francisco",NA,"0"
"248","California","G0501090","71","6","770","San Joaquin",NA,"1"
"249","California","G0501110","71","6","790","San Luis Obispo",NA,"1"
"250","California","G0501130","71","6","810","San Mateo",NA,"1"
"251","California","G0501150","71","6","830","Santa Barbara",NA,"1"
"252","California","G0501170","71","6","850","Santa Clara",NA,"1"
"253","California","G0501190","71","6","870","Santa Cruz",NA,"1"
"254","California","G0501210","71","6","890","Shasta",NA,"1"
"255","California","G0501230","71","6","910","Sierra",NA,"1"
"256","California","G0501250","71","6","930","Siskiyou",NA,"1"
"257","California","G0501270","71","6","950","Solano",NA,"1"
"258","California","G0501290","71","6","970","Sonoma",NA,"1"
"259","California","G0501310","71","6","990","Stanislaus",NA,"1"
"260","California","G0501330","71","6","1010","Sutter",NA,"1"
"261","California","G0501350","71","6","1030","Tehama",NA,"1"
