"","STATE","GISJOIN","STATEICP","STATEFIPS","COUNTYFIPS","ALLCOUNTIES","VARIABLE NAME","black_population","total_population","cty_percentage"
"219","California","G0500510","71","6","190","Fresno",NA,1372212,23296328,0.0589025017161503
"220","California","G0500530","71","6","210","Glenn",NA,8326,672084,0.0123883324108296
"221","California","G0500550","71","6","230","Humboldt",NA,49730,3886286,0.0127962790180651
"222","California","G0500570","71","6","250","Imperial",NA,148654,4286170,0.0346822454545667
"223","California","G0500590","71","6","270","Inyo",NA,4216,435336,0.00968447360199937
"224","California","G0500610","71","6","290","Kern",NA,1323990,21034362,0.0629441482465691
"225","California","G0500630","71","6","310","Kings",NA,21686882,65322270,0.331998290935082
"226","California","G0500650","71","6","330","Lake",NA,5438506,45738584,0.118904118238553
"227","California","G0500670","71","6","350","Lassen",NA,64666,761856,0.0848795572916667
"228","California","G0500690","71","6","370","Los Angeles",NA,21922806,239794044,0.091423480059413
"229","California","G0500710","71","6","390","Madera",NA,155502,3699082,0.0420379975356048
"230","California","G0500730","71","6","410","Marin",NA,176290,6198688,0.0284398892152662
"231","California","G0500750","71","6","430","Mariposa",NA,4528,422860,0.0107080357565152
"232","California","G0500770","71","6","450","Mendocino",NA,21136,2091544,0.010105453196299
"233","California","G0500790","71","6","470","Merced",NA,264294,6432480,0.0410874188493396
"234","California","G0500810","71","6","490","Modoc",NA,2624,217858,0.0120445427755694
"235","California","G0500830","71","6","510","Mono",NA,2706,343522,0.00787722474834217
"236","California","G0500850","71","6","530","Monterey",NA,361522,10284046,0.0351536739528392
"237","California","G0500870","71","6","550","Napa",NA,77126,3325790,0.023190279602741
"238","California","G0500890","71","6","570","Nevada",NA,76008,2579850,0.0294621780336066
"239","California","G0500910","71","6","590","Orange",NA,10403806,122757864,0.0847506274628565
"240","California","G0500930","71","6","610","Placer",NA,158406,9070686,0.0174635082726929
"241","California","G0500950","71","6","630","Plumas",NA,4554,456386,0.00997839548101826
"242","California","G0500970","71","6","650","Riverside",NA,4056194,56633350,0.0716220036427299
"243","California","G0500990","71","6","670","Sacramento",NA,3904972,35947722,0.108629192136292
"244","California","G0501010","71","6","690","San Benito",NA,20756,1426740,0.0145478503441412
"245","California","G0501030","71","6","710","San Bernardino",NA,4857126,50939684,0.0953505326024402
"246","California","G0501050","71","6","730","San Diego",NA,4338416,78221654,0.0554631074408117
"247","California","G0501070","71","6","750","San Francisco",NA,1180338,20497018,0.057585840047562
"248","California","G0501090","71","6","770","San Joaquin",NA,1436904,17481988,0.0821933981421335
"249","California","G0501110","71","6","790","San Luis Obispo",NA,141554,6688626,0.0211633899099755
"250","California","G0501130","71","6","810","San Mateo",NA,521716,18099352,0.0288251203689502
"251","California","G0501150","71","6","830","Santa Barbara",NA,252144,10528988,0.0239476006620959
"252","California","G0501170","71","6","850","Santa Clara",NA,1287124,45287314,0.0284212925500506
"253","California","G0501190","71","6","870","Santa Cruz",NA,100056,7613026,0.0131427371980603
"254","California","G0501210","71","6","890","Shasta",NA,45668,4288292,0.0106494613706343
"255","California","G0501230","71","6","910","Sierra",NA,2238,343824,0.00650914421331844
"256","California","G0501250","71","6","930","Siskiyou",NA,15196,1049596,0.0144779515165835
"257","California","G0501270","71","6","950","Solano",NA,1554754,10412020,0.149322994001164
"258","California","G0501290","71","6","970","Sonoma",NA,232150,11858456,0.0195767475968204
"259","California","G0501310","71","6","990","Stanislaus",NA,436754,12837274,0.0340223321555651
"260","California","G0501330","71","6","1010","Sutter",NA,58078,2291858,0.0253410115286375
"261","California","G0501350","71","6","1030","Tehama",NA,14410,1529028,0.00942428784822776
