,STATE,GISJOIN,STATEICP,STATEFIPS,COUNTYFIPS,ALLCOUNTIES,EPLRA2
116,Alaska Territory,G0100190,81,2,35,Fourth Judicial Dist,0
117,Alaska Territory,G0100210,81,2,75,Second Judicial Dist,0
118,Alaska Territory,G0100230,81,2,115,Third Judicial Dist,0
119,Arizona,G0101210,61,4,10,Apache,0
120,Arizona,G0101230,61,4,30,Cochise,0
121,Arizona,G0101250,61,4,50,Coconino,0
122,Arizona,G0101270,61,4,70,Gila,0
123,Arizona,G0101290,61,4,90,Graham,0
124,Arizona,G0101310,61,4,110,Greenlee,0
125,Arizona,G0101330,,4,120,La Paz,0
126,Arizona,G0250015,61,4,130,Maricopa,1
127,Arizona,G0250035,61,4,150,Mohave,0
128,Arizona,G0250075,61,4,170,Navajo,0
129,Arizona,G0250115,61,4,190,Pima,0
130,Arizona,G0200100,61,4,210,Pinal,0
131,Arizona,G0200130,61,4,230,Santa Cruz,0
132,Arizona,G0200160,61,4,250,Yavapai,0
133,Arizona,G0200200,61,4,270,Yuma,0
134,Arkansas,G0200400,42,5,10,Arkansas,0
135,Arkansas,G0200500,42,5,30,Ashley,0
136,Arkansas,G0200600,42,5,50,Baxter,0
137,Arkansas,G0200620,42,5,70,Benton,0
138,Arkansas,G0200630,42,5,90,Boone,0
139,Arkansas,G0200660,42,5,110,Bradley,0
140,Arkansas,G0200800,42,5,130,Calhoun,0
141,Arkansas,G0200680,42,5,150,Carroll,0
142,Arkansas,G0200700,42,5,170,Chicot,0
143,Arkansas,G0200900,42,5,190,Clark,0
144,Arkansas,G0201000,42,5,210,Clay,0
145,Arkansas,G0201050,42,5,230,Cleburne,0
146,Arkansas,G0201100,42,5,250,Cleveland,0
147,Arkansas,G0201220,42,5,270,Columbia,0
148,Arkansas,G0201200,42,5,290,Conway,0
149,Arkansas,G0201300,42,5,310,Craighead,0
150,Arkansas,G0201400,42,5,330,Crawford,0
151,Arkansas,G0201500,42,5,350,Crittenden,1
152,Arkansas,G0201580,42,5,370,Cross,0
153,Arkansas,G0201600,42,5,390,Dallas,0
154,Arkansas,G0201640,42,5,410,Desha,0
155,Arkansas,G0201700,42,5,430,Drew,0
156,Arkansas,G0201800,42,5,450,Faulkner,0
157,Arkansas,G0201850,42,5,470,Franklin,0
158,Arkansas,G0201880,42,5,490,Fulton,0
159,Arkansas,G0201900,42,5,510,Garland,0
160,Arkansas,G0201950,42,5,530,Grant,0
161,Arkansas,G0202000,42,5,550,Greene,0
162,Arkansas,G0201980,42,5,570,Hempstead,0
163,Arkansas,G0202010,42,5,590,Hot Spring,0
164,Arkansas,G0202100,42,5,610,Howard,0
165,Arkansas,G0202200,42,5,630,Independence,0
166,Arkansas,G0202300,42,5,650,Izard,0
167,Arkansas,G0202320,42,5,670,Jackson,0
168,Arkansas,G0202310,42,5,690,Jefferson,0
169,Arkansas,G0202400,42,5,710,Johnson,0
170,Arkansas,G0202500,42,5,730,Lafayette,0
171,Arkansas,G0202600,42,5,750,Lawrence,0
172,Arkansas,G0202610,42,5,770,Lee,0
173,Arkansas,G0202700,42,5,790,Lincoln,0
174,Arkansas,G0202800,42,5,810,Little River,0
175,Arkansas,G0202800,42,5,830,Logan,0
176,Arkansas,G0202820,42,5,850,Lonoke,0
177,Arkansas,G0202900,42,5,870,Madison,0
178,Arkansas,G0400010,42,5,890,Marion,0
179,Arkansas,G0400030,42,5,910,Miller,0
180,Arkansas,G0400050,42,5,930,Mississippi,0
181,Arkansas,G0400070,42,5,950,Monroe,0
182,Arkansas,G0400090,42,5,970,Montgomery,0
183,Arkansas,G0400110,42,5,990,Nevada,0
184,Arkansas,G0400120,42,5,1010,Newton,0
185,Arkansas,G0400130,42,5,1030,Ouachita,0
186,Arkansas,G0400150,42,5,1050,Perry,0
187,Arkansas,G0400170,42,5,1070,Phillips,1
188,Arkansas,G0400190,42,5,1090,Pike,0
189,Arkansas,G0400210,42,5,1110,Poinsett,0
190,Arkansas,G0400230,42,5,1130,Polk,0
191,Arkansas,G0400250,42,5,1150,Pope,0
192,Arkansas,G0400270,42,5,1170,Prairie,0
193,Arkansas,G0500010,42,5,1190,Pulaski,1
194,Arkansas,G0500030,42,5,1210,Randolph,0
195,Arkansas,G0500070,42,5,1250,Saline,0
196,Arkansas,G0500090,42,5,1270,Scott,0
197,Arkansas,G0500110,42,5,1290,Searcy,0
198,Arkansas,G0500130,42,5,1310,Sebastian,0
199,Arkansas,G0500150,42,5,1330,Sevier,0
200,Arkansas,G0500170,42,5,1350,Sharp,0
201,Arkansas,G0500050,42,5,1230,St Francis,0
202,Arkansas,G0500190,42,5,1370,Stone,0
203,Arkansas,G0500210,42,5,1390,Union,1
204,Arkansas,G0500230,42,5,1410,Van Buren,0
205,Arkansas,G0500250,42,5,1430,Washington,0
206,Arkansas,G0500270,42,5,1450,White,0
207,Arkansas,G0500290,42,5,1470,Woodruff,0
208,Arkansas,G0500310,42,5,1490,Yell,0
209,California,G0500330,71,6,10,Alameda,1
210,California,G0500350,71,6,30,Alpine,0
211,California,G0500370,71,6,50,Amador,0
212,California,G0500390,71,6,70,Butte,0
213,California,G0500410,71,6,90,Calaveras,0
214,California,G0500430,71,6,110,Colusa,0
215,California,G0500450,71,6,130,Contra Costa,1
216,California,G0500470,71,6,150,Del Norte,0
217,California,G0500490,71,6,170,El Dorado,0
218,California,G0500510,71,6,190,Fresno,0
219,California,G0500530,71,6,210,Glenn,0
220,California,G0500550,71,6,230,Humboldt,0
221,California,G0500570,71,6,250,Imperial,0
222,California,G0500590,71,6,270,Inyo,0
223,California,G0500610,71,6,290,Kern,0
224,California,G0500630,71,6,310,Kings,0
225,California,G0500650,71,6,330,Lake,0
226,California,G0500670,71,6,350,Lassen,0
227,California,G0500690,71,6,370,Los Angeles,1
228,California,G0500710,71,6,390,Madera,0
229,California,G0500730,71,6,410,Marin,0
230,California,G0500750,71,6,430,Mariposa,0
231,California,G0500770,71,6,450,Mendocino,0
232,California,G0500790,71,6,470,Merced,0
233,California,G0500810,71,6,490,Modoc,0
234,California,G0500830,71,6,510,Mono,0
235,California,G0500850,71,6,530,Monterey,1
236,California,G0500870,71,6,550,Napa,0
237,California,G0500890,71,6,570,Nevada,0
238,California,G0500910,71,6,590,Orange,0
239,California,G0500930,71,6,610,Placer,0
240,California,G0500950,71,6,630,Plumas,0
241,California,G0500970,71,6,650,Riverside,1
242,California,G0500990,71,6,670,Sacramento,1
243,California,G0501010,71,6,690,San Benito,0
244,California,G0501030,71,6,710,San Bernardino,1
245,California,G0501050,71,6,730,San Diego,1
246,California,G0501070,71,6,750,San Francisco,1
247,California,G0501090,71,6,770,San Joaquin,0
248,California,G0501110,71,6,790,San Luis Obispo,0
249,California,G0501130,71,6,810,San Mateo,0
250,California,G0501150,71,6,830,Santa Barbara,0
251,California,G0501170,71,6,850,Santa Clara,0
252,California,G0501190,71,6,870,Santa Cruz,0
253,California,G0501210,71,6,890,Shasta,0
254,California,G0501230,71,6,910,Sierra,0
255,California,G0501250,71,6,930,Siskiyou,0
256,California,G0501270,71,6,950,Solano,1
257,California,G0501290,71,6,970,Sonoma,0
258,California,G0501310,71,6,990,Stanislaus,0
259,California,G0501330,71,6,1010,Sutter,0
260,California,G0501350,71,6,1030,Tehama,0
261,California,G0501370,71,6,1050,Trinity,0
262,California,G0501390,71,6,1070,Tulare,0
263,California,G0501410,71,6,1090,Tuolumne,0
264,California,G0501430,71,6,1110,Ventura,0
265,California,G0501450,71,6,1130,Yolo,0
266,California,G0501470,71,6,1150,Yuba,0
267,Colorado,G0501490,62,8,10,Adams,1
268,Colorado,G0600010,62,8,30,Alamosa,0
269,Colorado,G0600030,62,8,50,Arapahoe,1
270,Colorado,G0600050,62,8,70,Archuleta,0
271,Colorado,G0600070,62,8,90,Baca,0
272,Colorado,G0600090,62,8,110,Bent,0
273,Colorado,G0600110,62,8,130,Boulder,0
274,Colorado,G0600130,,8,14,Broomfield County,0
275,Colorado,G0600150,62,8,150,Chaffee,0
276,Colorado,G0600170,62,8,170,Cheyenne,0
277,Colorado,G0600190,62,8,190,Clear Creek,0
278,Colorado,G0600210,62,8,210,Conejos,0
279,Colorado,G0600230,62,8,230,Costilla,0
280,Colorado,G0600250,62,8,250,Crowley,0
281,Colorado,G0600270,62,8,270,Custer,0
282,Colorado,G0600290,62,8,290,Delta,0
283,Colorado,G0600310,62,8,310,Denver,1
284,Colorado,G0600330,62,8,330,Dolores,0
285,Colorado,G0600350,62,8,350,Douglas,0
286,Colorado,G0600370,62,8,370,Eagle,0
287,Colorado,G0600410,62,8,410,El Paso,0
288,Colorado,G0600390,62,8,390,Elbert,0
289,Colorado,G0600430,62,8,430,Fremont,0
290,Colorado,G0600450,62,8,450,Garfield,0
291,Colorado,G0600470,62,8,470,Gilpin,0
292,Colorado,G0600490,62,8,490,Grand,0
293,Colorado,G0600510,62,8,510,Gunnison,0
294,Colorado,G0600530,62,8,530,Hinsdale,0
295,Colorado,G0600550,62,8,550,Huerfano,0
296,Colorado,G0600570,62,8,570,Jackson,0
297,Colorado,G0600590,62,8,590,Jefferson,0
298,Colorado,G0600610,62,8,610,Kiowa,0
299,Colorado,G0600630,62,8,630,Kit Carson,0
300,Colorado,G0600670,62,8,670,La Plata,0
301,Colorado,G0600650,62,8,650,Lake,0
302,Colorado,G0600690,62,8,690,Larimer,0
303,Colorado,G0600710,62,8,710,Las Animas,0
304,Colorado,G0600730,62,8,730,Lincoln,0
305,Colorado,G0600750,62,8,750,Logan,0
306,Colorado,G0600770,62,8,770,Mesa,0
307,Colorado,G0600790,62,8,790,Mineral,0
308,Colorado,G0600810,62,8,810,Moffat,0
309,Colorado,G0600830,62,8,830,Montezuma,0
310,Colorado,G0600850,62,8,850,Montrose,0
