,STATE,GISJOIN,STATEFIPS,COUNTYFIPS,ALLCOUNTIES,GR.SV2,GR.LRA2,GR.LRA3,MM.LRA1,EP.SV1,EP.LRA1,EP.SV2,EP.LRA2,EP.SV3,cty_percentage
64,Alabama,G0100110,1,1290,Washington,1,1,1,1,0,0,0,1,1,0.0539828171013083
65,Alabama,G0100130,1,1310,Wilcox,1,1,1,1,0,0,0,0,1,0.551021011009786
66,Alabama,G0100150,1,1330,Winston,1,1,1,1,0,0,0,0,0,0.206302165116412
67,Alaska,G0100250,2,10,Aleutian Islands,1,1,1,1,0,0,0,0,0,0.03785248751658036
68,Alaska,G0100270,2,13,Aleutians East,1,1,1,1,0,0,0,0,0,0.0926659195616984
69,Alaska,G0100290,2,16,Aleutians West,1,1,1,1,0,0,0,0,0,0.0692127939243464
70,Alaska,G0100310,2,20,Anchorage,1,1,1,1,0,0,0,0,0,0.0595435195616305
71,Alaska,G0100330,2,40,Barrow,1,1,1,1,0,0,0,0,0,0.03785248751658036
72,Alaska,G0100350,2,50,Bethel,1,1,1,1,0,0,0,0,0,0.0068831897211033
73,Alaska,G0100370,2,60,Bristol Bay Borough,1,1,1,1,0,0,0,0,0,0.03785248751658036
74,Alaska,G0100390,2,62,Bristol Bay Division,1,1,1,1,0,0,0,0,0,0.03785248751658036
75,Alaska,G0100410,2,63,Chugach Census Area,1,1,1,1,0,0,0,0,0,0.03785248751658036
76,Alaska,G0100430,2,66,Copper River Census Area,1,1,1,1,0,0,0,0,0,0.03785248751658036
77,Alaska,G0100450,2,80,Cordova-McCarthy,1,1,1,1,0,0,0,0,0,0.03785248751658036
78,Alaska,G0100470,2,68,Denali,1,1,1,1,0,0,0,0,0,0.0178593782599624
79,Alaska,G0100490,2,70,Dillingham,1,1,1,1,0,0,0,0,0,0.0053186100699017
80,Alaska,G0100510,2,90,Fairbanks North Star,1,1,1,1,0,0,0,0,0,0.051862574890206
81,Alaska,G0100530,2,100,Haines,1,1,1,1,0,0,0,0,0,0.005552470849528
82,Alaska,G0100550,2,105,Hoonah-Angoon Census Area,1,1,1,1,0,0,0,0,0,0.03785248751658036
83,Alaska,G0100570,2,110,Juneau,1,1,1,1,0,0,0,0,0,0.0131232032322395
