,STATE,GISJOIN,STATEICP,STATEFIPS,COUNTYFIPS,ALLCOUNTIES,GR.LRA3
103,Alaska,G0100970,81.0,2,230,Skagway Municipality,1.0
104,Alaska,G0100990,81.0,2,232,Skagway-Hoonah-Angoon,1.0
105,Alaska,G0101010,81.0,2,231,Skagway-Yakutat-Angoon,1.0
106,Alaska,G0101030,81.0,2,240,Southeast Fairbanks,1.0
107,Alaska,G0101050,81.0,2,250,Upper Yukon,1.0
108,Alaska,G0101070,81.0,2,260,Valdez-Chitina-Whittier,1.0
109,Alaska,G0101090,81.0,2,261,Valdez-Cordova,1.0
110,Alaska,G0101110,81.0,2,270,Wade Hampton,1.0
111,Alaska,G0101130,81.0,2,280,Wrangell City and Borough,1.0
112,Alaska,G0101150,81.0,2,280,Wrangell-Petersburg,1.0
113,Alaska,G0101170,81.0,2,282,Yakutat,1.0
114,Alaska,G0101190,81.0,2,290,Yukon-Koyukuk,1.0
115,Alaska Territory,G0100170,81.0,2,15,First Judicial Dist,1.0
116,Alaska Territory,G0100190,81.0,2,35,Fourth Judicial Dist,1.0
117,Alaska Territory,G0100210,81.0,2,75,Second Judicial Dist,1.0
118,Alaska Territory,G0100230,81.0,2,115,Third Judicial Dist,1.0
119,Arizona,G0101210,61.0,4,10,Apache,1.0
120,Arizona,G0101230,61.0,4,30,Cochise,1.0
121,Arizona,G0101250,61.0,4,50,Coconino,1.0
122,Arizona,G0101270,61.0,4,70,Gila,1.0
123,Arizona,G0101290,61.0,4,90,Graham,1.0
124,Arizona,G0101310,61.0,4,110,Greenlee,1.0
125,Arizona,G0101330,,4,120,La Paz,1.0
126,Arizona,G0250015,61.0,4,130,Maricopa,1.0
127,Arizona,G0250035,61.0,4,150,Mohave,1.0
128,Arizona,G0250075,61.0,4,170,Navajo,1.0
129,Arizona,G0250115,61.0,4,190,Pima,1.0
130,Arizona,G0200100,61.0,4,210,Pinal,1.0
131,Arizona,G0200130,61.0,4,230,Santa Cruz,1.0
132,Arizona,G0200160,61.0,4,250,Yavapai,1.0
133,Arizona,G0200200,61.0,4,270,Yuma,1.0
134,Arkansas,G0200400,42.0,5,10,Arkansas,1.0
135,Arkansas,G0200500,42.0,5,30,Ashley,1.0
136,Arkansas,G0200600,42.0,5,50,Baxter,1.0
137,Arkansas,G0200620,42.0,5,70,Benton,1.0
138,Arkansas,G0200630,42.0,5,90,Boone,1.0
139,Arkansas,G0200660,42.0,5,110,Bradley,1.0
140,Arkansas,G0200800,42.0,5,130,Calhoun,1.0
141,Arkansas,G0200680,42.0,5,150,Carroll,1.0
142,Arkansas,G0200700,42.0,5,170,Chicot,1.0
143,Arkansas,G0200900,42.0,5,190,Clark,1.0
144,Arkansas,G0201000,42.0,5,210,Clay,1.0
145,Arkansas,G0201050,42.0,5,230,Cleburne,1.0
146,Arkansas,G0201100,42.0,5,250,Cleveland,1.0
147,Arkansas,G0201220,42.0,5,270,Columbia,1.0
148,Arkansas,G0201200,42.0,5,290,Conway,1.0
149,Arkansas,G0201300,42.0,5,310,Craighead,1.0
150,Arkansas,G0201400,42.0,5,330,Crawford,1.0
151,Arkansas,G0201500,42.0,5,350,Crittenden,1.0
152,Arkansas,G0201580,42.0,5,370,Cross,1.0
153,Arkansas,G0201600,42.0,5,390,Dallas,1.0
154,Arkansas,G0201640,42.0,5,410,Desha,1.0
155,Arkansas,G0201700,42.0,5,430,Drew,1.0
156,Arkansas,G0201800,42.0,5,450,Faulkner,1.0
157,Arkansas,G0201850,42.0,5,470,Franklin,1.0
158,Arkansas,G0201880,42.0,5,490,Fulton,1.0
159,Arkansas,G0201900,42.0,5,510,Garland,1.0
160,Arkansas,G0201950,42.0,5,530,Grant,1.0
161,Arkansas,G0202000,42.0,5,550,Greene,1.0
162,Arkansas,G0201980,42.0,5,570,Hempstead,1.0
163,Arkansas,G0202010,42.0,5,590,Hot Spring,1.0
164,Arkansas,G0202100,42.0,5,610,Howard,1.0
165,Arkansas,G0202200,42.0,5,630,Independence,1.0
166,Arkansas,G0202300,42.0,5,650,Izard,1.0
167,Arkansas,G0202320,42.0,5,670,Jackson,1.0
168,Arkansas,G0202310,42.0,5,690,Jefferson,1.0
169,Arkansas,G0202400,42.0,5,710,Johnson,1.0
170,Arkansas,G0202500,42.0,5,730,Lafayette,1.0
171,Arkansas,G0202600,42.0,5,750,Lawrence,1.0
172,Arkansas,G0202610,42.0,5,770,Lee,1.0
173,Arkansas,G0202700,42.0,5,790,Lincoln,1.0
174,Arkansas,G0202800,42.0,5,810,Little River,1.0
175,Arkansas,G0202800,42.0,5,830,Logan,1.0
176,Arkansas,G0202820,42.0,5,850,Lonoke,1.0
177,Arkansas,G0202900,42.0,5,870,Madison,1.0
178,Arkansas,G0400010,42.0,5,890,Marion,1.0
179,Arkansas,G0400030,42.0,5,910,Miller,1.0
180,Arkansas,G0400050,42.0,5,930,Mississippi,1.0
181,Arkansas,G0400070,42.0,5,950,Monroe,1.0
182,Arkansas,G0400090,42.0,5,970,Montgomery,1.0
183,Arkansas,G0400110,42.0,5,990,Nevada,1.0
184,Arkansas,G0400120,42.0,5,1010,Newton,1.0
185,Arkansas,G0400130,42.0,5,1030,Ouachita,1.0
186,Arkansas,G0400150,42.0,5,1050,Perry,1.0
187,Arkansas,G0400170,42.0,5,1070,Phillips,1.0
188,Arkansas,G0400190,42.0,5,1090,Pike,1.0
189,Arkansas,G0400210,42.0,5,1110,Poinsett,1.0
190,Arkansas,G0400230,42.0,5,1130,Polk,1.0
191,Arkansas,G0400250,42.0,5,1150,Pope,1.0
192,Arkansas,G0400270,42.0,5,1170,Prairie,1.0
193,Arkansas,G0500010,42.0,5,1190,Pulaski,1.0
194,Arkansas,G0500030,42.0,5,1210,Randolph,1.0
195,Arkansas,G0500070,42.0,5,1250,Saline,1.0
196,Arkansas,G0500090,42.0,5,1270,Scott,1.0
197,Arkansas,G0500110,42.0,5,1290,Searcy,1.0
198,Arkansas,G0500130,42.0,5,1310,Sebastian,1.0
199,Arkansas,G0500150,42.0,5,1330,Sevier,1.0
200,Arkansas,G0500170,42.0,5,1350,Sharp,1.0
201,Arkansas,G0500050,42.0,5,1230,St Francis,1.0
202,Arkansas,G0500190,42.0,5,1370,Stone,1.0
203,Arkansas,G0500210,42.0,5,1390,Union,1.0
204,Arkansas,G0500230,42.0,5,1410,Van Buren,1.0
205,Arkansas,G0500250,42.0,5,1430,Washington,1.0
206,Arkansas,G0500270,42.0,5,1450,White,1.0
207,Arkansas,G0500290,42.0,5,1470,Woodruff,1.0
208,Arkansas,G0500310,42.0,5,1490,Yell,1.0
209,California,G0500330,71.0,6,10,Alameda,0.0
210,California,G0500350,71.0,6,30,Alpine,0.0
211,California,G0500370,71.0,6,50,Amador,0.0
212,California,G0500390,71.0,6,70,Butte,0.0
213,California,G0500410,71.0,6,90,Calaveras,0.0
214,California,G0500430,71.0,6,110,Colusa,0.0
215,California,G0500450,71.0,6,130,Contra Costa,0.0
216,California,G0500470,71.0,6,150,Del Norte,0.0
217,California,G0500490,71.0,6,170,El Dorado,0.0
218,California,G0500510,71.0,6,190,Fresno,0.0
219,California,G0500530,71.0,6,210,Glenn,0.0
220,California,G0500550,71.0,6,230,Humboldt,0.0
221,California,G0500570,71.0,6,250,Imperial,0.0
222,California,G0500590,71.0,6,270,Inyo,0.0
223,California,G0500610,71.0,6,290,Kern,0.0
224,California,G0500630,71.0,6,310,Kings,0.0
225,California,G0500650,71.0,6,330,Lake,0.0
226,California,G0500670,71.0,6,350,Lassen,0.0
227,California,G0500690,71.0,6,370,Los Angeles,0.0
228,California,G0500710,71.0,6,390,Madera,0.0
229,California,G0500730,71.0,6,410,Marin,0.0
230,California,G0500750,71.0,6,430,Mariposa,0.0
231,California,G0500770,71.0,6,450,Mendocino,0.0
232,California,G0500790,71.0,6,470,Merced,0.0
233,California,G0500810,71.0,6,490,Modoc,0.0
234,California,G0500830,71.0,6,510,Mono,0.0
235,California,G0500850,71.0,6,530,Monterey,0.0
236,California,G0500870,71.0,6,550,Napa,0.0
237,California,G0500890,71.0,6,570,Nevada,0.0
238,California,G0500910,71.0,6,590,Orange,0.0
239,California,G0500930,71.0,6,610,Placer,0.0
240,California,G0500950,71.0,6,630,Plumas,0.0
241,California,G0500970,71.0,6,650,Riverside,0.0
242,California,G0500990,71.0,6,670,Sacramento,0.0
243,California,G0501010,71.0,6,690,San Benito,0.0
244,California,G0501030,71.0,6,710,San Bernardino,0.0
245,California,G0501050,71.0,6,730,San Diego,0.0
246,California,G0501070,71.0,6,750,San Francisco,0.0
247,California,G0501090,71.0,6,770,San Joaquin,0.0
248,California,G0501110,71.0,6,790,San Luis Obispo,0.0
249,California,G0501130,71.0,6,810,San Mateo,0.0
250,California,G0501150,71.0,6,830,Santa Barbara,0.0
251,California,G0501170,71.0,6,850,Santa Clara,0.0
252,California,G0501190,71.0,6,870,Santa Cruz,0.0
253,California,G0501210,71.0,6,890,Shasta,0.0
254,California,G0501230,71.0,6,910,Sierra,0.0
255,California,G0501250,71.0,6,930,Siskiyou,0.0
256,California,G0501270,71.0,6,950,Solano,0.0
257,California,G0501290,71.0,6,970,Sonoma,0.0
258,California,G0501310,71.0,6,990,Stanislaus,0.0
259,California,G0501330,71.0,6,1010,Sutter,0.0
260,California,G0501350,71.0,6,1030,Tehama,0.0
261,California,G0501370,71.0,6,1050,Trinity,0.0
262,California,G0501390,71.0,6,1070,Tulare,0.0
263,California,G0501410,71.0,6,1090,Tuolumne,0.0
264,California,G0501430,71.0,6,1110,Ventura,0.0
265,California,G0501450,71.0,6,1130,Yolo,0.0
266,California,G0501470,71.0,6,1150,Yuba,0.0
267,Colorado,G0501490,62.0,8,10,Adams,0.0
268,Colorado,G0600010,62.0,8,30,Alamosa,0.0
269,Colorado,G0600030,62.0,8,50,Arapahoe,0.0
270,Colorado,G0600050,62.0,8,70,Archuleta,0.0
271,Colorado,G0600070,62.0,8,90,Baca,0.0
272,Colorado,G0600090,62.0,8,110,Bent,0.0
273,Colorado,G0600110,62.0,8,130,Boulder,0.0
274,Colorado,G0600130,,8,14,Broomfield County,0.0
275,Colorado,G0600150,62.0,8,150,Chaffee,0.0
276,Colorado,G0600170,62.0,8,170,Cheyenne,0.0
277,Colorado,G0600190,62.0,8,190,Clear Creek,0.0
278,Colorado,G0600210,62.0,8,210,Conejos,0.0
279,Colorado,G0600230,62.0,8,230,Costilla,0.0
280,Colorado,G0600250,62.0,8,250,Crowley,0.0
281,Colorado,G0600270,62.0,8,270,Custer,0.0
282,Colorado,G0600290,62.0,8,290,Delta,0.0
283,Colorado,G0600310,62.0,8,310,Denver,0.0
284,Colorado,G0600330,62.0,8,330,Dolores,0.0
285,Colorado,G0600350,62.0,8,350,Douglas,0.0
286,Colorado,G0600370,62.0,8,370,Eagle,0.0
287,Colorado,G0600410,62.0,8,410,El Paso,0.0
288,Colorado,G0600390,62.0,8,390,Elbert,0.0
289,Colorado,G0600430,62.0,8,430,Fremont,0.0
290,Colorado,G0600450,62.0,8,450,Garfield,0.0
291,Colorado,G0600470,62.0,8,470,Gilpin,0.0
292,Colorado,G0600490,62.0,8,490,Grand,0.0
293,Colorado,G0600510,62.0,8,510,Gunnison,0.0
294,Colorado,G0600530,62.0,8,530,Hinsdale,0.0
295,Colorado,G0600550,62.0,8,550,Huerfano,0.0
296,Colorado,G0600570,62.0,8,570,Jackson,0.0
297,Colorado,G0600590,62.0,8,590,Jefferson,0.0
298,Colorado,G0600610,62.0,8,610,Kiowa,0.0
299,Colorado,G0600630,62.0,8,630,Kit Carson,0.0
300,Colorado,G0600670,62.0,8,670,La Plata,0.0
301,Colorado,G0600650,62.0,8,650,Lake,0.0
302,Colorado,G0600690,62.0,8,690,Larimer,0.0
303,Colorado,G0600710,62.0,8,710,Las Animas,0.0
304,Colorado,G0600730,62.0,8,730,Lincoln,0.0
305,Colorado,G0600750,62.0,8,750,Logan,0.0
306,Colorado,G0600770,62.0,8,770,Mesa,0.0
307,Colorado,G0600790,62.0,8,790,Mineral,0.0
308,Colorado,G0600810,62.0,8,810,Moffat,0.0
309,Colorado,G0600830,62.0,8,830,Montezuma,0.0
310,Colorado,G0600850,62.0,8,850,Montrose,0.0
311,Colorado,G0600870,62.0,8,870,Morgan,0.0
312,Colorado,G0600890,62.0,8,890,Otero,0.0
313,Colorado,G0600910,62.0,8,910,Ouray,0.0
314,Colorado,G0600930,62.0,8,930,Park,0.0
315,Colorado,G0600950,62.0,8,950,Phillips,0.0
316,Colorado,G0600970,62.0,8,970,Pitkin,0.0
317,Colorado,G0600990,62.0,8,990,Prowers,0.0
318,Colorado,G0601010,62.0,8,1010,Pueblo,0.0
319,Colorado,G0601050,62.0,8,1030,Rio Blanco,0.0
320,Colorado,G0601070,62.0,8,1050,Rio Grande,0.0
321,Colorado,G0601030,,8,1070,Routt County,0.0
322,Colorado,G0601110,62.0,8,1090,Saguache,0.0
323,Colorado,G0601130,62.0,8,1110,San Juan,0.0
324,Colorado,G0601150,62.0,8,1130,San Miguel,0.0
325,Colorado,G0800010,62.0,8,1150,Sedgwick,0.0
326,Colorado,G0800030,62.0,8,1170,Summit,0.0
327,Colorado,G0800050,62.0,8,1190,Teller,0.0
328,Colorado,G0800070,62.0,8,1210,Washington,0.0
329,Colorado,G0800090,62.0,8,1230,Weld,0.0
330,Colorado,G0800110,62.0,8,1250,Yuma,0.0
331,Connecticut,G0800130,1.0,9,10,Fairfield,0.0
332,Connecticut,G0800140,1.0,9,30,Hartford,0.0
333,Connecticut,G0800150,1.0,9,50,Litchfield,0.0
334,Connecticut,G0800170,1.0,9,70,Middlesex,0.0
335,Connecticut,G0800190,1.0,9,90,New Haven,0.0
336,Connecticut,G0800210,1.0,9,110,New London,0.0
337,Connecticut,G0800230,1.0,9,130,Tolland,0.0
338,Connecticut,G0800250,1.0,9,150,Windham,0.0
339,Delaware,G0800270,11.0,10,10,Kent,0.0
340,Delaware,G0800290,11.0,10,30,New Castle,0.0
341,Delaware,G0800310,11.0,10,50,Sussex,0.0
342,District Of Columbia,G0800330,98.0,11,10,District Of Columbia,1.0
343,Florida,G0800350,43.0,12,10,Alachua,1.0
344,Florida,G0800370,43.0,12,30,Baker,1.0
345,Florida,G0800390,43.0,12,50,Bay,1.0
346,Florida,G0800410,43.0,12,70,Bradford,1.0
347,Florida,G0800430,43.0,12,90,Brevard,1.0
348,Florida,G0800450,43.0,12,110,Broward,1.0
349,Florida,G0800470,43.0,12,130,Calhoun,1.0
350,Florida,G0800490,43.0,12,150,Charlotte,1.0
351,Florida,G0800510,43.0,12,170,Citrus,1.0
352,Florida,G0800530,43.0,12,190,Clay,1.0
353,Florida,G0800550,43.0,12,210,Collier,1.0
354,Florida,G0800570,43.0,12,230,Columbia,1.0
355,Florida,G0800590,43.0,12,250,Dade,1.0
356,Florida,G0800610,43.0,12,270,DeSoto,1.0
357,Florida,G0800630,43.0,12,290,Dixie,1.0
358,Florida,G0800650,43.0,12,310,Duval,1.0
359,Florida,G0800670,43.0,12,330,Escambia,1.0
360,Florida,G0800690,43.0,12,350,Flagler,1.0
361,Florida,G0800710,43.0,12,370,Franklin,1.0
362,Florida,G0800730,43.0,12,390,Gadsden,1.0
363,Florida,G0800750,43.0,12,410,Gilchrist,1.0
364,Florida,G0800770,43.0,12,430,Glades,1.0
365,Florida,G0800790,43.0,12,450,Gulf,1.0
366,Florida,G0800810,43.0,12,470,Hamilton,1.0
367,Florida,G0800830,43.0,12,490,Hardee,1.0
368,Florida,G0800850,43.0,12,510,Hendry,1.0
369,Florida,G0800870,43.0,12,530,Hernando,1.0
370,Florida,G0800890,43.0,12,550,Highlands,1.0
371,Florida,G0800910,43.0,12,570,Hillsborough,1.0
372,Florida,G0800930,43.0,12,590,Holmes,1.0
373,Florida,G0800950,43.0,12,610,Indian River,1.0
374,Florida,G0800970,43.0,12,630,Jackson,1.0
375,Florida,G0800990,43.0,12,650,Jefferson,1.0
376,Florida,G0801010,43.0,12,670,Lafayette,1.0
377,Florida,G0801070,43.0,12,690,Lake,1.0
378,Florida,G0801030,43.0,12,710,Lee,1.0
379,Florida,G0801050,43.0,12,730,Leon,1.0
380,Florida,G0801070,43.0,12,750,Levy,1.0
381,Florida,G0801090,43.0,12,770,Liberty,1.0
382,Florida,G0801110,43.0,12,790,Madison,1.0
383,Florida,G0801130,43.0,12,810,Manatee,1.0
384,Florida,G0801150,43.0,12,830,Marion,1.0
385,Florida,G0801170,43.0,12,850,Martin,1.0
386,Florida,G0801190,,12,86,Miami-Dade County,1.0
387,Florida,G0801210,43.0,12,870,Monroe,1.0
388,Florida,G0801230,43.0,12,890,Nassau,1.0
389,Florida,G0801250,43.0,12,910,Okaloosa,1.0
390,Florida,G0900010,43.0,12,930,Okeechobee,1.0
391,Florida,G0900030,43.0,12,950,Orange,1.0
392,Florida,G0900050,43.0,12,970,Osceola,1.0
393,Florida,G0900070,43.0,12,990,Palm Beach,1.0
394,Florida,G0900090,43.0,12,1010,Pasco,1.0
395,Florida,G0900110,43.0,12,1030,Pinellas,1.0
396,Florida,G0900130,43.0,12,1050,Polk,1.0
397,Florida,G0900150,43.0,12,1070,Putnam,1.0
398,Florida,G1000050,43.0,12,1130,Santa Rosa,1.0
399,Florida,G1100010,43.0,12,1150,Sarasota,1.0
400,Florida,G1200010,43.0,12,1170,Seminole,1.0
401,Florida,G1000010,43.0,12,1090,St Johns,1.0
402,Florida,G1000030,43.0,12,1110,St Lucie,1.0
403,Florida,G1200030,43.0,12,1190,Sumter,1.0
404,Florida,G1200050,43.0,12,1210,Suwannee,1.0
405,Florida,G1200070,43.0,12,1230,Taylor,1.0
406,Florida,G1200090,43.0,12,1250,Union,1.0
407,Florida,G1200110,43.0,12,1270,Volusia,1.0
408,Florida,G1200130,43.0,12,1290,Wakulla,1.0
409,Florida,G1200150,43.0,12,1310,Walton,1.0
410,Florida,G1200170,43.0,12,1330,Washington,1.0
411,Georgia,G1200190,44.0,13,10,Appling,1.0
412,Georgia,G1200210,44.0,13,30,Atkinson,1.0
413,Georgia,G1200230,44.0,13,50,Bacon,1.0
414,Georgia,G1200250,44.0,13,70,Baker,1.0
415,Georgia,G1200270,44.0,13,90,Baldwin,1.0
416,Georgia,G1200290,44.0,13,110,Banks,1.0
417,Georgia,G1200310,44.0,13,130,Barrow,1.0
418,Georgia,G1200330,44.0,13,150,Bartow,1.0
419,Georgia,G1200350,44.0,13,170,Ben Hill,1.0
420,Georgia,G1200370,44.0,13,190,Berrien,1.0
421,Georgia,G1200390,44.0,13,210,Bibb,1.0
422,Georgia,G1200410,44.0,13,230,Bleckley,1.0
423,Georgia,G1200430,44.0,13,250,Brantley,1.0
424,Georgia,G1200450,44.0,13,270,Brooks,1.0
425,Georgia,G1200470,44.0,13,290,Bryan,1.0
426,Georgia,G1200490,44.0,13,310,Bulloch,1.0
427,Georgia,G1200510,44.0,13,330,Burke,1.0
428,Georgia,G1200530,44.0,13,350,Butts,1.0
429,Georgia,G1200550,44.0,13,370,Calhoun,1.0
430,Georgia,G1200570,44.0,13,390,Camden,1.0
431,Georgia,G1200610,44.0,13,430,Candler,1.0
432,Georgia,G1200630,44.0,13,450,Carroll,1.0
433,Georgia,G1200650,44.0,13,470,Catoosa,1.0
434,Georgia,G1200670,44.0,13,490,Charlton,1.0
435,Georgia,G1200690,44.0,13,510,Chatham,1.0
436,Georgia,G1200710,44.0,13,530,Chattahoochee,1.0
437,Georgia,G1200730,44.0,13,550,Chattooga,1.0
438,Georgia,G1200750,44.0,13,570,Cherokee,1.0
439,Georgia,G1200770,44.0,13,590,Clarke,1.0
440,Georgia,G1200790,44.0,13,610,Clay,1.0
441,Georgia,G1200810,44.0,13,630,Clayton,1.0
442,Georgia,G1200830,44.0,13,650,Clinch,1.0
443,Georgia,G1200850,44.0,13,670,Cobb,1.0
444,Georgia,G1200860,44.0,13,690,Coffee,1.0
445,Georgia,G1200870,44.0,13,710,Colquitt,1.0
446,Georgia,G1200890,44.0,13,730,Columbia,1.0
447,Georgia,G1200910,44.0,13,750,Cook,1.0
448,Georgia,G1200930,44.0,13,770,Coweta,1.0
449,Georgia,G1200950,44.0,13,790,Crawford,1.0
450,Georgia,G1200970,44.0,13,810,Crisp,1.0
451,Georgia,G1200990,44.0,13,830,Dade,1.0
452,Georgia,G1201010,44.0,13,850,Dawson,1.0
453,Georgia,G1201030,44.0,13,870,Decatur,1.0
454,Georgia,G1201050,44.0,13,890,DeKalb,1.0
455,Georgia,G1201070,44.0,13,910,Dodge,1.0
