STATE,ALLCOUNTIES,Time 1,Time 2,Time 3
Arizona,Yavapai,Naur,Yes,Yes
Arizona,Yuma,Naur,Yes,Yes
Arkansas,Arkansas,Naur,Yes,Yes
Arkansas,Ashley,Naur,Naur,Yes
Arkansas,Baxter,Naur,Naur,Yes
Arkansas,Benton,Naur,Naur,Yes
Arkansas,Boone,Naur,Naur,Yes
Arkansas,Bradley,Naur,Naur,Yes
Arkansas,Calhoun,Naur,Naur,Yes
Arkansas,Carroll,Naur,Naur,Yes
Arkansas,Chicot,Naur,Yes,Yes
Arkansas,Clark,Naur,Naur,Yes
Arkansas,Clay,Naur,Yes,Yes
Arkansas,Cleburne,Naur,Yes,Yes
Arkansas,Cleveland,Naur,Yes,Yes
Arkansas,Columbia,Naur,Naur,Yes
Arkansas,Conway,Naur,Yes,Yes
Arkansas,Craighead,Naur,Yes,Yes
Arkansas,Crawford,Naur,Naur,Yes
Arkansas,Crittenden,Naur,Yes,Yes
Arkansas,Cross,Naur,Yes,Yes
Arkansas,Dallas,Naur,Yes,Yes
Arkansas,Desha,Naur,Yes,Yes
Arkansas,Drew,Naur,Yes,Yes
Arkansas,Faulkner,Naur,Yes,Yes
Arkansas,Franklin,Naur,Naur,Yes
Arkansas,Fulton,Naur,Yes,Yes
Arkansas,Garland,Naur,Naur,Yes
Arkansas,Grant,Naur,Yes,Yes
Arkansas,Greene,Naur,Yes,Yes
Arkansas,Hempstead,Naur,Naur,Yes
Arkansas,Hot Spring,Naur,Naur,Yes
Arkansas,Howard,Naur,Naur,Yes
Arkansas,Independence,Naur,Yes,Yes
Arkansas,Izard,Naur,Yes,Yes
Arkansas,Jackson,Naur,Yes,Yes
Arkansas,Jefferson,Naur,Yes,Yes
Arkansas,Johnson,Naur,Naur,Yes
Arkansas,Lafayette,Naur,Naur,Yes
Arkansas,Lawrence,Naur,Yes,Yes
Arkansas,Lee,Naur,Yes,Yes
Arkansas,Lincoln,Naur,Yes,Yes
Arkansas,Little River,Naur,Naur,Yes
Arkansas,Logan,Naur,Naur,Yes
Arkansas,Lonoke,Naur,Yes,Yes
Arkansas,Madison,Naur,Naur,Yes
Arkansas,Marion,Naur,Naur,Yes
Arkansas,Miller,Naur,Naur,Yes
Arkansas,Mississippi,Naur,Yes,Yes
Arkansas,Monroe,Naur,Yes,Yes
Arkansas,Montgomery,Naur,Naur,Yes
Arkansas,Nevada,Naur,Naur,Yes
Arkansas,Newton,Naur,Naur,Yes
Arkansas,Ouachita,Naur,Naur,Yes
Arkansas,Perry,Naur,Yes,Yes
Arkansas,Phillips,Naur,Yes,Yes
Arkansas,Pike,Naur,Naur,Yes
Arkansas,Poinsett,Naur,Yes,Yes
Arkansas,Polk,Naur,Naur,Yes
Arkansas,Pope,Naur,Yes,Yes
Arkansas,Prairie,Naur,Yes,Yes
Arkansas,Pulaski,Yes,Yes,Yes
Arkansas,Randolph,Naur,Yes,Yes
Arkansas,Saline,Naur,Yes,Yes
Arkansas,Scott,Naur,Naur,Yes
Arkansas,Searcy,Naur,Naur,Yes
Arkansas,Sebastian,Naur,Naur,Yes
Arkansas,Sevier,Naur,Naur,Yes
Arkansas,Sharp,Naur,Yes,Yes
Arkansas,St Francis,Naur,Yes,Yes
Arkansas,Stone,Naur,Yes,Yes
Arkansas,Union,Naur,Yes,Yes
Arkansas,Van Buren,Naur,Yes,Yes
Arkansas,Washington,Naur,Naur,Yes
Arkansas,White,Naur,Yes,Yes
Arkansas,Woodruff,Naur,Yes,Yes
Arkansas,Yell,Naur,Yes,Yes
